GVKEY,IBES Ticker,Duplicates
140073,AA30,0
66484,AA37,0
61721,AA39,0
26264,AA3A,0
1121,AA3B,0
61055,AA3C,0
1050,AA3E,0
64163,AA3G,0
61381,AA3J,0
17405,AA3N,0
17724,AA3O,0
16441,AA3R,0
28285,AA3T,0
66504,AA3Z,0
6608,AA46,0
61206,AA49,0
4052,AA4A,0
64620,AA4D,0
140905,AA4L,0
11065,AA4N,0
121833,AA4P,0
65235,AA4Q,0
63799,AA4R,0
16837,AA4S,0
64223,AA4U,0
119295,AA4W,0
17318,AA4X,0
65548,AA51,0
3594,AA53,0
15428,AA54,0
4450,AA55,0
113299,AA56,0
31895,AA5A,0
105805,AA5B,0
27598,AA5D,0
118574,AA5F,0
28278,AA5G,0
1553,AAA,0
129632,AAAC,0
145042,AAAD,0
30612,AAAF,0
100004,AAAL,0
22266,AAAP,0
114648,AABB,0
16855,AABC,0
1627,AAC,0
28708,AAC1,0
157058,AACC,0
25961,AACE,0
25078,AADV,0
1379,AAE,0
1387,AAF,0
1269,AAGC,0
187961,AAGD,0
15510,AAGI,1
15510,AAGY,1
14084,AAIC,0
61269,AAIR,0
64079,AAIS,0
163679,AAIT,0
1253,AAL,0
21251,AALR,0
27378,AAM,0
11981,AAMD,0
16671,AAME,0
24746,AAMS,0
17208,AANB,0
18564,AAOI,0
21542,AAON,0
29422,AAP,0
1690,AAPL,0
145977,AAPS,0
1122,AAR,0
12899,AARE,0
13247,AARN,0
1603,AASI,0
12307,AATI,0
61922,AATT,0
15508,AAUK,0
10703,AAV,0
21020,AAVL,0
1412,AB,0
1366,AB9,0
1394,ABA,0
30169,ABAG,0
1842,ABAN,0
2831,ABAT,0
24888,ABAX,0
160657,ABBC,0
16605,ABBK,0
16101,ABBV,0
1409,ABC,0
26431,ABC1,0
30222,ABCB,0
25513,ABCI,0
30113,ABCO,0
29395,ABCR,0
25570,ABCW,0
13619,ABD,0
3939,ABD9,0
20550,ABDC,0
24290,ABDN,0
63653,ABDR,0
164506,ABDW,0
15277,ABE,0
29254,ABE1,0
1277,ABEV,0
1213,ABF,0
63782,ABFI,0
1743,ABFS,0
1560,ABG,0
64146,ABG1,0
16632,ABGA,0
221636,ABGB,0
144640,ABGG,0
112178,ABGX,0
112401,ABH,0
178855,ABIB,0
16645,ABIG,0
24934,ABII,0
1693,ABIO,0
211897,ABIS,0
15359,ABIX,0
24287,ABK,0
16224,ABK1,0
15889,ABKD,0
287218,ABLX,0
1410,ABM,0
63962,ABND,0
14488,ABNY,0
116606,ABOV,0
1411,ABP,0
24113,ABP1,0
162956,ABPI,0
25673,ABRS,0
30248,ABRX,0
1240,ABS,0
12261,ABSB,0
64931,ABSC,0
1009,ABSI,0
28199,ABSO,0
1078,ABT,0
28521,ABTC,0
17209,ABTE,0
105346,ABTG,0
25803,ABTI,0
119173,ABTL,0
29387,ABTX,0
146354,ABVA,0
1753,ABW,0
155280,ABX,0
213412,ABX1,0
2055,ABXF,0
1236,ABY,0
1743,ABZ,0
15533,ABZ1,1
15533,ABZ2,1
1414,AC,0
180475,AC1,0
14592,AC4,0
12062,ACA,0
61260,ACA1,0
1720,ACA9,0
174693,ACAC,0
1878,ACAD,0
28622,ACAI,0
1083,ACAJ,0
24636,ACAM,0
31682,ACAR,0
65345,ACAS,0
22461,ACAT,0
1417,ACB,0
119813,ACBA,0
176939,ACBD,0
179048,ACBI,0
137130,ACC,0
174551,ACCA,0
11987,ACCC,0
137410,ACCD,0
62873,ACCI,0
64603,ACCL,0
161048,ACCN,0
3505,ACCO,0
24948,ACCS,0
28958,ACCX,0
141846,ACDI,0
119753,ACDO,0
1099,ACE,0
63470,ACEC,0
1259,ACEL,0
125794,ACEN,0
1444,ACES,0
1214,ACF,0
266216,ACFC,0
29443,ACH,0
11174,ACHI,0
174136,ACHN,0
1724,ACHV,0
14793,ACI,1
14793,ACI/1,1
14793,ACI1,1
26722,ACIA,0
182706,ACIG,0
1694,ACIS,0
63826,ACIT,0
27372,ACIU,0
1418,ACIX,0
1762,ACK,0
147449,ACL,0
28034,ACL1,0
133164,ACLA,0
22850,ACLB,0
16609,ACLE,0
1308,ACLM,0
112048,ACLN,0
64171,ACLR,0
137602,ACLS,0
1877,ACLV,0
21118,ACLY,0
1855,ACM,0
12569,ACM2,0
26006,ACM3,0
124374,ACM4,0
1100,ACME,0
147988,ACMG,0
165710,ACMH,0
1095,ACMI,0
61351,ACMM,0
65569,ACMR,0
13010,ACMS,0
1097,ACMT,0
12332,ACN,0
29134,ACNS,0
143357,ACNT,0
160891,ACNX,0
1091,ACO,0
25846,ACO2,0
1801,ACOK,0
14182,ACOL,0
1822,ACOM,0
13709,ACP,0
162346,ACP1,0
12651,ACPI,0
138601,ACPW,0
178073,ACQ,0
13535,ACR,0
64839,ACR1,0
22843,ACR5,0
1093,ACRA,0
19439,ACRC,0
156617,ACRD,0
189516,ACRE,0
61004,ACRI,0
12499,ACRL,0
64964,ACRN,0
31520,ACRO,0
61068,ACRS,0
1695,ACRT,0
122434,ACRU,0
185908,ACRX,0
30697,ACSA,0
64996,ACSC,0
1011,ACSE,0
165785,ACSH,0
12570,ACSN,0
1372,ACST,0
66625,ACSY,0
1419,ACT,0
31661,ACT1,0
230796,ACT2,0
13728,ACTA,0
31193,ACTC,0
166555,ACTE,0
150681,ACTH,0
28678,ACTL,0
1112,ACTM,0
28182,ACTN,0
1141,ACTP,0
4132,ACTR,0
165555,ACTS,0
62649,ACTT,0
112624,ACTU,0
160281,ACTV,0
1104,ACU,0
14056,ACU1,0
145160,ACUS,0
1239,ACV,0
29396,ACVC,0
145979,ACWN,0
1108,ACX,0
1430,ACY,0
66301,ACY1,0
65368,ACYT,0
1623,AD,0
107757,AD11,0
1115,ADAC,0
61523,ADAM,0
23574,ADAP,0
29950,ADAX,0
12540,ADBE,0
122094,ADBL,0
30067,ADC,0
31526,ADC1,0
1696,ADCC,0
1164,ADCO,0
1013,ADCT,0
1594,ADD,0
22790,ADDD,0
24428,ADDM,0
13429,ADDR,0
144520,ADDY,0
1700,ADE,0
178676,ADEG,0
12484,ADEL,0
61427,ADEX,0
120313,ADFC,0
1118,ADG,0
66441,ADG1,0
1117,ADGE,0
112473,ADGO,0
143909,ADH,0
24927,ADHC,0
1632,ADI,0
100862,ADI1,0
1128,ADIA,0
63644,ADIC,0
12161,ADIE,0
32395,ADIL,0
64540,ADIN,0
156578,ADIS,0
1630,ADIT,0
127644,ADIY,0
166485,ADKS,0
1640,ADL,0
26355,ADL1,0
24185,ADLI,0
25215,ADLR,0
163919,ADLS,0
61690,ADLT,0
1722,ADM,0
28483,ADM1,0
17653,ADMA,0
12250,ADMG,0
184957,ADMP,0
13171,ADMR,0
13503,ADMS,0
170615,ADNC,0
31825,ADOM,0
1297,ADP,0
109580,ADPI,0
12256,ADPT,0
1699,ADR,0
23335,ADRO,0
63051,ADRX,0
1701,ADS,0
29119,ADS1,0
124934,ADS2,0
110801,ADSC,0
63336,ADSI,0
1124,ADSN,0
1375,ADSO,0
31455,ADSP,0
16648,ADSW,0
1434,ADT,0
61726,ADTK,0
30576,ADTN,0
14438,ADTT,0
13915,ADTX,0
183283,ADUS,0
1148,ADV,0
1137,ADVC,0
63693,ADVH,0
1146,ADVN,0
13025,ADVO,0
63728,ADVP,0
61557,ADVS,0
15858,ADVT,0
1119,ADX,0
164511,ADXS,0
31043,ADY1,0
161037,ADZA,0
161067,AEAC,0
29164,AEC,0
1238,AEC1,0
30334,AECI,0
61604,AED,0
15451,AED1,0
1197,AEE,0
141097,AEGG,0
15598,AEGN,0
61700,AEGP,0
177313,AEGR,0
63619,AEH,0
65475,AEHC,0
65286,AEHR,0
156383,AEI,0
61562,AEIS,0
1661,AEL,0
63562,AEL1,1
63562,AEL2,1
1017,AELN,0
27983,AEMD,0
1038,AEN,0
1255,AEOK,0
30059,AEOS,0
1440,AEP,0
11903,AEPI,0
65580,AER,0
176092,AERH,0
18749,AERI,0
185191,AERL,0
28532,AERN,0
20036,AERT,0
24216,AESC,0
1155,AESM,0
1177,AET,0
24105,AETC,0
125315,AETH,0
1203,AEX,0
17754,AEYE,0
29754,AFAS,0
23944,AFB,0
64546,AFBC,0
25147,AFBI,0
1178,AFBK,0
1462,AFC,0
29424,AFC2,0
65887,AFC3,0
29493,AFCB,0
1831,AFCC,0
114608,AFCE,0
63678,AFCI,0
14903,AFCO,0
24279,AFCX,0
63929,AFED,0
24534,AFFC,0
16644,AFFF,0
62702,AFFI,0
160181,AFFM,0
62990,AFFX,0
176237,AFFY,0
1020,AFGN,0
186230,AFHU,0
1456,AFIL,0
31914,AFIN,0
63201,AFIS,0
26343,AFIWI,0
1449,AFL,0
1458,AFLT,0
30696,AFLX,0
21635,AFMD,0
24778,AFMX,0
178907,AFNG,0
141236,AFOP,0
1181,AFP,0
1021,AFPC,0
153070,AFR,0
1600,AFS,0
166005,AFSI,0
14374,AFTI,0
1463,AFUR,0
15302,AFWY,0
1278,AG,0
12950,AGA,0
31807,AGA1,0
122845,AGA2,0
1315,AGAI,0
29069,AGAM,0
1417,AGB,0
21435,AGBG,0
1465,AGC,0
179889,AGCN,0
25180,AGCO,0
140421,AGCX,0
6041,AGD,0
4230,AGE1,0
1186,AGE2,0
179111,AGEI,0
129466,AGEN,0
19525,AGFS,0
13680,AGH,0
1331,AGI,0
15364,AGII,0
123094,AGIL,0
18159,AGIO,0
138641,AGIX,0
1655,AGL,0
12246,AGL1,0
24599,AGLE,0
1837,AGLT,0
1362,AGM,0
180279,AGMA,0
1657,AGMD,0
15708,AGN,0
1284,AGN0,0
1183,AGNC,0
137801,AGNT,0
126694,AGNY,0
1464,AGP,0
63192,AGP2,0
13308,AGPH,0
28255,AGR2,0
141845,AGRA,0
1468,AGRE,0
24928,AGRI,0
186275,AGRO,0
1023,AGS,0
65748,AGS1,0
1169,AGSI,0
24375,AGSV,0
26325,AGT2,0
19967,AGTC,0
62650,AGTX,0
1645,AGV,0
21151,AGVS,0
176083,AGWI,0
66691,AGX,0
1308,AH,0
1327,AHA,0
241637,AHBI,0
1380,AHC,0
28702,AHCC,0
61777,AHCI,0
179288,AHCW,0
166458,AHDL,0
13536,AHE,0
166363,AHGP,0
183636,AHH,0
17626,AHHU,0
1472,AHI,0
176361,AHII,0
61363,AHIS,0
1474,AHL,0
23667,AHLD,0
1194,AHM,0
124315,AHMH,0
1475,AHO,0
1478,AHP,0
24837,AHPI,0
19084,AHPN,0
1590,AHR,0
66688,AHR1,0
1481,AHS,0
1479,AHSC,0
23589,AHSI,0
64528,AHSL,0
1808,AHST,0
13589,AHT,0
1597,AHTH,0
155754,AHTI,0
11953,AHTS,0
143909,AHX1,0
1772,AI,0
1024,AIAI,0
15505,AIB,0
1489,AIC,0
146617,AICC,0
24746,AICM,0
23089,AICP,0
63945,AICX,0
16635,AIDC,0
16647,AIFC,0
12147,AIFS,0
1487,AIG,0
216019,AIGX,0
25001,AIH,0
25724,AIHI,0
177697,AIIK,0
1729,AIKI,0
1036,AIL,0
12396,AILP,0
176247,AIMC,0
13657,AIMG,0
26898,AIMM,0
1028,AIMT,0
1043,AIN,0
1766,AIND,0
21144,AINN,0
266257,AINV,0
1491,AIP,0
13259,AIPN,0
1004,AIR,0
116504,AIR1,0
11979,AIRC,0
23499,AIRE,0
27703,AIRG,0
1204,AIRL,0
137861,AIRN,0
122156,AIRO,0
110759,AIRS,0
177883,AIRV,0
23979,AISX,0
1485,AIT,0
1896,AITX,0
30490,AIV,0
155616,AIX,0
11764,AIX1,0
157057,AIZI,0
1647,AJ,0
4973,AJGC,0
116284,AJKM,0
28913,AJL,0
66352,AJX,0
125595,AKAM,0
19718,AKAO,0
19859,AKBA,0
32046,AKCA,0
275264,AKER,0
177975,AKHN,0
4395,AKI,0
105394,AKIT,0
14524,AKL1,0
15334,AKN,0
30436,AKO,1
30436,AKO/1,1
14304,AKRN,0
26759,AKS1,0
29968,AKST,0
62874,AKSY,0
21042,AKTS,0
1243,AL,0
218399,AL2,0
31062,ALAB,0
186278,ALAL,0
1228,ALAN,0
1088,ALAR,0
1248,ALB,0
29751,ALB1,0
148223,ALBA,0
28639,ALBC,0
25116,ALBK,0
12942,ALBM,0
1290,ALBN,0
119014,ALBY,0
25448,ALCC,0
1244,ALCD,0
16630,ALCI,0
116004,ALCL,0
31037,ALCN,0
1266,ALCO,0
1494,ALCR,0
101352,ALCX,0
1300,ALD,0
28984,ALD1,0
28388,ALDA,0
13420,ALDC,0
25664,ALDN,0
20033,ALDR,0
29675,ALDV,0
15235,ALDW,0
20018,ALDX,0
316056,ALEE,0
61834,ALES,0
12327,ALET,0
1254,ALEX,0
31037,ALF,0
29228,ALFC,0
17191,ALFD,0
1260,ALFN,0
1746,ALG,0
1263,ALG2,0
175007,ALGG,0
141384,ALGN,0
1264,ALGO,0
112179,ALGX,0
29129,ALHY,0
63430,ALI,0
64550,ALI2,0
16634,ALII,0
100011,ALIX,0
163939,ALJ,0
1230,ALK,0
24302,ALKS,0
1120,ALL,0
28349,ALL1,0
23520,ALLA,0
61364,ALLE,0
15798,ALLI,0
33721,ALLK,0
61408,ALLM,0
63915,ALLN,0
117701,ALLR,0
12258,ALLS,0
11823,ALLT,0
5072,ALLY,0
15724,ALLZ,0
29120,ALM,0
1334,ALMI,0
27960,ALMO,0
1281,ALN,0
12872,ALN1,0
32529,ALNA,0
17908,ALNC,0
30589,ALNK,0
1311,ALNT,0
264265,ALNY,0
1633,ALOG,0
1820,ALOT,0
12359,ALOY,0
30200,ALP1,0
153351,ALPC,0
62439,ALPH,0
1314,ALR,0
30130,ALRC,0
109338,ALRE,0
30720,ALRM,0
1351,ALRN,0
29958,ALRT,0
1301,ALS,0
29323,ALSC,0
1271,ALSE,0
65474,ALSI,0
126555,ALSK,0
156619,ALSM,0
177966,ALSN,0
65045,ALST,0
24648,ALT1,0
29686,ALTC,0
61330,ALTD,0
133424,ALTH,0
12489,ALTI,0
176021,ALTL,0
1346,ALTN,0
1350,ALTO,0
14324,ALTR,0
16700,ALTS,0
165857,ALTU,0
15848,ALU,0
64690,ALV,0
14821,ALWC,0
12842,ALWS,0
1257,ALX,0
166414,ALXA,0
11756,ALXE,0
62263,ALXN,0
120513,ALY1,0
25808,ALYD,0
63832,ALYN,0
1043,AM,0
29440,AM1,0
16641,AM40,0
149620,AM4A,0
1599,AMA,0
15315,AMA1,0
14579,AMAB,0
1523,AMAC,0
33625,AMAL,0
185087,AMAP,0
63446,AMAR,0
1704,AMAT,0
1408,AMB,0
17348,AMBC,0
201140,AMBE,0
12828,AMBI,0
12048,AMBJ,0
25975,AMBK,0
15420,AMBL,0
185263,AMBO,0
24794,AMBR,0
24811,AMBS,0
185857,AMBT,0
201140,AMBV,0
24965,AMC1,0
1390,AMCA,0
65904,AMCC,0
12065,AMCE,0
183526,AMCF,0
63970,AMCI,0
61421,AMCN,0
165458,AMCP,0
185128,AMCR,0
61751,AMCS,0
110320,AMCT,0
187406,AMCV,0
1161,AMD,0
177981,AMDA,0
23253,AMDL,0
16848,AMDS,0
1598,AME,0
64303,AME2,0
13255,AMEA,0
1509,AMED,0
32809,AMEH,0
12447,AMEI,0
65464,AMEN,0
21252,AMEP,0
25056,AMER,0
164572,AMES,0
138121,AMEV,0
1040,AMF,0
17361,AMFB,0
62527,AMFC,0
1001,AMFD,0
25947,AMFF,0
126976,AMFH,0
16643,AMFI,0
25233,AMFS,0
65886,AMG,0
178796,AMGC,0
166437,AMGI,0
1602,AMGN,0
145367,AMGP,0
1470,AMGR,0
1392,AMH,0
24396,AMH1,0
11961,AMHC,0
17639,AMHH,0
21375,AMI,1
21375,AMI1,1
1604,AMIC,0
61121,AMIE,0
155735,AMIS,0
118081,AMJK,0
16646,AMJX,0
1577,AMK,0
13231,AMKG,0
110039,AMKR,0
1756,AML,0
180363,AMLI,0
61689,AMLJ,0
29693,AMLL,0
24843,AMLN,0
22570,AMM1,0
138741,AMMD,0
1512,AMMS,0
1593,AMN,0
17367,AMNB,0
14033,AMNF,0
1514,AMON,0
1393,AMOO,0
1608,AMP,0
30152,AMPC,0
1610,AMPD,0
1539,AMPH,0
13289,AMPI,0
1611,AMPL,0
164708,AMPW,0
25554,AMPX,0
1045,AMR,0
25657,AMR1,0
17497,AMR2,0
60983,AMRB,0
60817,AMRD,0
13117,AMRE,0
1381,AMRF,0
16222,AMRI,0
19172,AMRK,0
61594,AMRN,0
184717,AMRR,0
1551,AMRS,0
186783,AMRT,0
1364,AMRX,0
149620,AMRZ,0
1559,AMS,0
24795,AMSC,0
1513,AMSE,0
66681,AMSF,0
65967,AMSG,0
63162,AMSI,0
64180,AMSN,0
1508,AMSR,0
25732,AMST,0
1562,AMSW,0
1500,AMSY,0
16531,AMT1,0
105365,AMT2,0
1606,AMTA,0
7799,AMTC,0
64552,AMTD,0
186743,AMTG,0
17366,AMTI,0
63187,AMTK,0
27961,AMTL,0
28248,AMTN,0
1595,AMTR,0
1037,AMTV,0
16662,AMTY,0
63161,AMTZ,0
63943,AMV,0
25004,AMVC,0
12379,AMWD,0
13387,AMWE,0
1208,AMWI,0
1365,AMX,0
14986,AMXI,0
142248,AMXL,0
61556,AMXX,0
1377,AMY,0
63798,AMYC,0
1555,AMZ,0
1495,AMZ1,0
64768,AMZN,0
1609,AN,0
1672,ANA,0
63258,ANA1,0
26162,ANAB,0
179438,ANAC,0
31743,ANAD,0
1526,ANAT,0
23868,ANBC,0
181515,ANCB,0
127174,ANCC,0
183352,ANCE,0
30131,ANCR,0
137064,ANCX,0
1650,AND,0
16664,ANDB,0
1659,ANDE,0
1649,ANDO,0
1641,ANDR,0
157414,ANDS,0
127175,ANDV,0
1651,ANDW,0
1652,ANDY,0
1635,ANEN,0
31757,ANET,0
63643,ANF,0
118302,ANFI,0
1654,ANG,0
15508,ANGL,0
14581,ANGN,0
264387,ANGO,0
109380,ANGY,0
66654,ANH,0
31551,ANIC,0
28209,ANIK,0
1666,ANK,0
62450,ANLG,0
12801,ANLT,0
1634,ANLY,0
13303,ANME,0
12834,ANMR,0
21828,ANN,0
65515,ANNB,0
66060,ANP1,0
1527,ANPC,0
1528,ANR,0
24535,ANRG,0
162448,ANRI,0
111000,ANSR,0
63080,ANSS,0
62571,ANST,0
12750,ANSY,0
1677,ANT,0
1664,ANTC,0
28853,ANTE,0
183879,ANTH,0
1003,ANTQ,0
118773,ANTV,0
177405,ANVG,0
165642,ANW,0
1665,ANX,0
16972,ANY,0
120656,AOBO,0
162897,AOCM,0
1532,AOG,0
140757,AOGI,0
64963,AOIA,0
16884,AOKS,0
183920,AOL,0
138481,AOLA,0
184604,AOLS,0
118634,AOM1,0
180636,AONE,0
112088,AOR,0
60835,AORI,0
180711,AOVG,0
1613,AP,0
1678,APA,0
112533,APAB,0
61407,APAC,0
16113,APAM,0
13229,APBI,0
11923,APC,0
14565,APCC,0
1692,APCI,0
14866,APCO,0
141497,APCP,0
183606,APCR,0
129418,APCS,0
1209,APD,0
106126,APDN,0
178797,APEI,0
64397,APEX,0
1533,APF,0
115044,APF1,0
27148,APFH,0
149437,APG1,1
149437,APG2,1
30291,APGG,0
14281,APGI,0
24844,APGR,0
22387,APH,0
14282,APH1,0
